terreno,construccion,recamaras,banos,estacionamientos,ubicacion,precio,anio_construct,tipo
259.0,256.0,4,3,2,"San José De Los Cedros, Cuajimalpa De Morelos, Ciudad De México 05200, México.","$5,850,000 MXN",20,regular
211.0,210.0,4,1,1,"Ciudad Jardín, Coyoacán, Ciudad De México 04370, México.","$10,300,000 MXN",35,casa
351.9,427.0,4,4,10,"Granjas Modernas, Gustavo A. Madero, Ciudad De México 07460, México.","$12,000,000 MXN",1979,Concreto
121.0,150.0,5,2,2,"Emiliano Zapata Amp, Iztapalapa, Ciudad De México 09638, México.","$2,050,000 MXN",1999,regular
47.0,47.0,2,1,0,"Chinampac De Juárez Frente VII, Iztapalapa, Ciudad De México 09208, México.","$1,000,000 MXN",1994,Loseta cerámica19
664.4,460.4,3,4,4,"Atlamaya, Alvaro Obregón, Ciudad De México 01760, México.","$23,000,000 MXN",2017,departamento
191.0,191.0,3,3,1,"Polanco Reforma, Miguel Hidalgo, Ciudad De México 11550, México.","$12,500,000 MXN",1975,Duela
65.0,65.0,3,2,0,"Villa Coapa, Tlalpan, Ciudad De México 14390, México.","$2,995,000 MXN",50,casa-duplex
67.2,67.2,3,1,0,"Ejercito Constitucionalista, Iztapalapa, Ciudad De México 09220, México.","$1,400,000 MXN",35,regular
549.0,107.0,2,2,2,"Bosques De Las Lomas, Miguel Hidalgo, Ciudad De México 11700, México.","$12,550,000 MXN",50,irregular
549.0,107.0,2,2,2,"Bosques De Las Lomas, Miguel Hidalgo, Ciudad De México 11700, México.","$12,550,000 MXN",50,irregular
217.0,340.0,5,3,2,"Lomas De San Angel Inn, Alvaro Obregón, Ciudad De México 01790, México.","$7,950,000 MXN",1961,casa
228.0,371.0,12,6,3,"Tepalcates, Iztapalapa, Ciudad De México 09210, México.","$5,898,000 MXN",34,regular
100.0,100.0,3,2,1,"Letran Valle, Benito Juárez, Ciudad De México 03650, México.","$3,198,000 MXN",1994,departamento
111.8,111.8,3,2,1,"San Jerónimo Lídice, La Magdalena Contreras, Ciudad De México 10200, México.","$3,500,000 MXN",2001,Loseta cerámica
96.0,96.0,2,2,2,"Santa Cruz Atoyac, Benito Juárez, Ciudad De México 03310, México.","$5,500,000 MXN",14,departamento
405.0,674.0,5,4,3,"San Pedro Zacatenco, Gustavo A. Madero, Ciudad De México 07360, México.","$16,500,000 MXN",1988,casa
87.0,87.0,2,2,2,"Portales Norte, Benito Juárez, Ciudad De México 01650, México.","$3,699,000 MXN",2019,departamento
162.0,162.0,3,5,2,"Santa Fe Cuajimalpa, Cuajimalpa De Morelos, Ciudad De México 05348, México.","$7,050,000 MXN",2006,departamento
